accountNumber,country,balance
0,44,70
1,89,4
2,27,41
3,46,45
4,72,50
5,61,37
6,54,73
7,25,49
8,87,39
9,52,7
10,76,87
11,16,67
12,57,67
13,71,49
14,93,41
15,40,81
16,66,83
17,73,19
18,39,81
19,18,39
20,55,15
21,37,82
22,18,59
23,97,51
24,48,5
25,16,70
26,48,72
27,93,79
28,87,77
29,84,21
30,74,77
31,57,4
32,96,90
33,7,77
34,75,34
35,0,44
36,89,48
37,31,37
38,29,93
39,49,57
40,51,5
41,93,66
42,64,22
43,35,67
44,26,86
45,93,96
46,55,18
47,41,40
48,25,51
49,62,47
50,44,41
51,29,62
52,70,4
53,82,68
54,48,11
55,47,99
56,71,30
57,26,78
58,11,7
59,25,35
60,41,29
61,8,21
62,50,78
63,92,81
64,95,49
65,68,80
66,94,82
67,61,8
68,36,88
69,51,88
70,85,96
71,38,23
72,48,26
73,46,62
74,14,76
75,39,33
76,21,90
77,99,33
78,54,22
79,53,51
80,75,88
81,15,33
82,30,67
83,35,65
84,16,63
85,71,37
86,84,23
87,43,29
88,83,17
89,30,82
90,35,87
91,34,15
92,41,62
93,60,78
94,9,61
95,34,39
96,34,85
97,20,62
98,8,51
99,95,70
100,27,82
101,60,82
102,62,77
103,6,15
104,89,92
105,39,81
106,20,71
107,53,66
108,98,59
109,26,52
110,5,52
111,54,74
112,2,77
113,88,85
114,8,21
115,9,92
116,86,12
117,60,47
118,55,52
119,0,57
120,72,25
121,72,67
122,99,27
123,64,62
124,9,68
125,52,60
126,44,55
127,77,43
128,28,53
129,74,82
130,26,76
131,84,84
132,71,97
133,85,26
134,5,73
135,4,0
136,52,41
137,80,0
138,1,38
139,77,26
140,21,40
141,12,20
142,39,47
143,68,54
144,70,43
145,24,7
146,83,72
147,98,24
148,83,87
149,55,74
150,76,72
151,62,90
152,56,8
153,3,11
154,62,43
155,51,38
156,5,1
157,55,33
158,71,6
159,57,36
160,57,17
161,3,42
162,75,98
163,57,32
164,2,28
165,55,92
166,71,26
167,63,4
168,58,30
169,91,3
170,51,27
171,80,25
172,56,31
173,67,23
174,68,50
175,15,92
176,17,46
177,14,38
178,87,34
179,33,64
180,54,23
181,41,74
182,83,69
183,30,24
184,70,0
185,47,25
186,44,68
187,65,30
188,61,32
189,41,72
190,64,51
191,59,7
192,77,9
193,9,8
194,89,32
195,42,29
196,69,93
197,72,67
198,84,76
199,47,11
200,93,32
201,80,67
202,44,43
203,2,47
204,72,86
205,72,82
206,22,14
207,59,81
208,15,47
209,92,31
210,14,75
211,10,97
212,82,40
213,98,54
214,57,77
215,48,89
216,25,50
217,58,9
218,27,97
219,64,16
220,6,29
221,60,23
222,56,7
223,70,27
224,8,88
225,61,25
226,18,52
227,17,71
228,56,95
229,60,39
230,49,90
231,29,25
232,33,83
233,89,21
234,23,13
235,20,61
236,67,98
237,69,62
238,37,91
239,84,2
240,83,54
241,68,10
242,28,31
243,32,96
244,91,53
245,41,62
246,55,87
247,80,73
248,94,81
249,73,76
250,38,34
251,65,57
252,5,47
253,84,62
254,1,55
255,58,26
256,54,54
257,7,5
258,56,38
259,55,97
260,89,37
261,21,35
262,20,60
263,42,32
264,82,93
265,97,88
266,28,60
267,16,49
268,45,25
269,26,20
270,11,65
271,51,76
272,4,65
273,33,86
274,66,50
275,24,41
276,21,96
277,45,36
278,36,2
279,27,4
280,19,73
281,72,91
282,29,13
283,25,97
284,89,4
285,93,82
286,71,35
287,25,89
288,83,12
289,56,55
290,99,33
291,27,92
292,64,40
293,38,0
294,4,92
295,88,13
296,93,40
297,45,53
298,3,20
299,36,38
300,61,6
301,60,28
302,47,84
303,25,88
304,10,32
305,19,32
306,48,80
307,74,93
308,64,27
309,49,32
310,59,28
311,0,32
312,93,76
313,42,53
314,43,18
315,8,5
316,19,45
317,71,50
318,32,71
319,93,42
320,75,75
321,81,6
322,93,72
323,92,7
324,79,99
325,56,18
326,88,71
327,47,8
328,27,29
329,90,84
330,46,94
331,88,7
332,23,5
333,61,73
334,22,98
335,94,2
336,39,21
337,53,74
338,50,52
339,82,27
340,60,85
341,39,42
342,48,25
343,56,37
344,2,11
345,43,42
346,51,48
347,28,98
348,18,67
349,49,76
350,46,20
351,77,94
352,23,76
353,32,34
354,54,14
355,78,94
356,1,0
357,33,5
358,68,4
359,56,62
360,17,86
361,95,50
362,59,79
363,69,46
364,45,40
365,34,85
366,78,74
367,39,62
368,64,66
369,1,62
370,4,13
371,56,42
372,64,7
373,46,43
374,64,46
375,99,24
376,19,55
377,3,62
378,98,95
379,16,97
380,65,76
381,69,91
382,60,69
383,21,3
384,66,39
385,39,67
386,61,5
387,81,42
388,94,75
389,15,87
390,0,16
391,76,23
392,86,20
393,55,78
394,59,15
395,67,43
396,46,67
397,48,24
398,72,13
399,47,87
400,21,60
401,79,7
402,85,97
